"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine"
"{ï..Body_pres=[0,1],CA_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Head_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Head_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Cheeks_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],EyeAp_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],EyeAp_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Cheeks_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Eyebrows_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyebrows_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Cheeks_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Eyegaze_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyegaze_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Cheeks_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Head_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Head_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],EyeAp_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Eyebrows_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyebrows_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],EyeAp_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Eyegaze_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyegaze_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],EyeAp_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Head_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Head_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Eyebrows_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Eyegaze_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Eyegaze_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Eyebrows_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Head_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Head_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Eyegaze_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{ï..Body_pres=[0,1],Head_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyegaze_pres=[0,1],Head_pres=[0,1]} "," {ï..Body_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Cheeks_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],EyeAp_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],EyeAp_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Cheeks_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Eyebrows_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyebrows_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Cheeks_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Eyegaze_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyegaze_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Cheeks_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Head_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Head_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],EyeAp_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Eyebrows_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyebrows_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],EyeAp_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Eyegaze_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyegaze_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],EyeAp_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Head_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Head_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Eyebrows_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Eyegaze_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Eyegaze_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Eyebrows_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Head_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Head_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Eyegaze_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{CA_pres=[0,1],Head_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyegaze_pres=[0,1],Head_pres=[0,1]} "," {CA_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],EyeAp_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyebrows_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyebrows_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],EyeAp_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyegaze_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyegaze_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],EyeAp_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Head_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Head_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyebrows_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyegaze_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Eyegaze_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyebrows_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Head_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Head_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Eyegaze_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Cheeks_pres=[0,1],Head_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyegaze_pres=[0,1],Head_pres=[0,1]} "," {Cheeks_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyebrows_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyegaze_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Eyegaze_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyebrows_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Head_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Head_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Eyegaze_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{EyeAp_pres=[0,1],Head_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyegaze_pres=[0,1],Head_pres=[0,1]} "," {EyeAp_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Eyegaze_pres=[0,1]} "," {Head_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyebrows_pres=[0,1],Head_pres=[0,1]} "," {Eyegaze_pres=[0,1]}",1,1,1,1,2989,NA,1
"{Eyegaze_pres=[0,1],Head_pres=[0,1]} "," {Eyebrows_pres=[0,1]}",1,1,1,1,2989,NA,1
